"","time","data"
"1",1979-01-15,0
"2",1979-02-15,0
"3",1979-03-15,0
"4",1979-04-15,18.7599999999999
"5",1979-05-15,27.56
"6",1979-06-15,0
"7",1979-07-15,206.2
"8",1979-08-15,67.31
"9",1979-09-15,40.1399999999999
"10",1979-10-15,0
"11",1979-11-15,4.88
"12",1979-12-15,26.4999999999999
"13",1980-01-15,0
"14",1980-02-15,20.9999999999999
"15",1980-03-15,0
"16",1980-04-15,217.6
"17",1980-05-15,130.56
"18",1980-06-15,129.45
"19",1980-07-15,179.52
"20",1980-08-15,47.1499999999999
"21",1980-09-15,57.0699999999999
"22",1980-10-15,4.07999999999998
"23",1980-11-15,0
"24",1980-12-15,0
"25",1981-01-15,0
"26",1981-02-15,10.45
"27",1981-03-15,3.11000000000001
"28",1981-04-15,26.45
"29",1981-05-15,260.27
"30",1981-06-15,37.73
"31",1981-07-15,41.36
"32",1981-08-15,69.4
"33",1981-09-15,14.07
"34",1981-10-15,11.72
"35",1981-11-15,0
"36",1981-12-15,0
"37",1982-01-15,0
"38",1982-02-15,0
"39",1982-03-15,14.18
"40",1982-04-15,0
"41",1982-05-15,217.27
"42",1982-06-15,515.78
"43",1982-07-15,195.57
"44",1982-08-15,113.32
"45",1982-09-15,155.05
"46",1982-10-15,18.23
"47",1982-11-15,0
"48",1982-12-15,0
"49",1983-01-15,5.48000000000002
"50",1983-02-15,3.33999999999997
"51",1983-03-15,0
"52",1983-04-15,10.03
"53",1983-05-15,83.59
"54",1983-06-15,173.82
"55",1983-07-15,204.54
"56",1983-08-15,154.86
"57",1983-09-15,36.0899999999999
"58",1983-10-15,0
"59",1983-11-15,0
"60",1983-12-15,0
"61",1984-01-15,0
"62",1984-02-15,0
"63",1984-03-15,11.11
"64",1984-04-15,4.61000000000001
"65",1984-05-15,164.41
"66",1984-06-15,99.84
"67",1984-07-15,543.89
"68",1984-08-15,83.5399999999999
"69",1984-09-15,95.7699999999999
"70",1984-10-15,4.12
"71",1984-11-15,14.1
"72",1984-12-15,2.82999999999998
"73",1985-01-15,3.14999999999998
"74",1985-02-15,0
"75",1985-03-15,20.76
"76",1985-04-15,0
"77",1985-05-15,34.31
"78",1985-06-15,51.15
"79",1985-07-15,116.41
"80",1985-08-15,0
"81",1985-09-15,23.95
"82",1985-10-15,11.47
"83",1985-11-15,0.560000000000002
"84",1985-12-15,0
"85",1986-01-15,0
"86",1986-02-15,9.06999999999999
"87",1986-03-15,0
"88",1986-04-15,67.1899999999999
"89",1986-05-15,269.47
"90",1986-06-15,236.6
